spots,legs,eyes,arms,colour_green,stim_id,danger_true,block,trial_in_block,trial_within_subject,agent_id,w1_true,w2_true,w3_true,w4_true,w5_true,c_true,log_c_true,bias_true,prob_cat1,sim_response,correct,performance
0,0,0,0,1,17,0,1,1,1,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,0,0
1,0,1,1,1,30,1,1,2,2,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,0,0
0,0,1,1,1,29,0,1,3,3,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5249791874789399,0,1,0.3333333333333333
1,0,1,0,0,6,1,1,4,4,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.52497918747894,0,0,0.25
0,1,1,1,0,15,0,1,5,5,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4987520803857839,0,1,0.4
1,0,0,1,0,10,0,1,6,6,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.52497918747894,0,1,0.5
0,0,1,0,1,21,0,1,7,7,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5041650329203535,0,1,0.5714285714285714
1,1,0,0,0,4,0,1,8,8,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.509959738845597,0,1,0.625
0,0,1,1,0,13,0,1,9,9,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.502768999962901,0,1,0.6666666666666666
1,1,1,1,0,16,1,1,10,10,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5158606017978038,1,1,0.7
0,1,0,1,1,27,0,1,11,11,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4734219323394058,1,0,0.6363636363636364
1,0,1,1,0,14,1,1,12,12,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5358779395981598,1,1,0.6666666666666666
0,0,0,1,1,25,0,1,13,13,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46844408390188375,1,0,0.6153846153846154
0,1,0,0,0,3,0,1,14,14,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.47015326600849844,1,0,0.5714285714285714
1,1,1,0,1,24,1,1,15,15,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.520854083665379,0,0,0.5333333333333333
1,1,1,1,1,32,1,1,16,16,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5326249612240049,1,1,0.5625
0,0,0,0,0,1,0,1,17,17,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4614233948716583,0,1,0.5882352941176471
1,0,0,0,0,2,0,1,18,18,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4964192754395102,0,1,0.6111111111111112
0,1,1,1,1,31,0,1,19,19,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5072951442948456,0,1,0.631578947368421
1,0,0,1,1,26,0,1,20,20,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5047500144009265,0,1,0.65
0,1,1,0,1,23,0,1,21,21,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4990200359157122,1,0,0.6190476190476191
1,0,0,0,1,18,0,1,22,22,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49573480044187024,1,0,0.5909090909090909
0,0,1,0,0,5,0,1,23,23,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49276715056697107,0,1,0.6086956521739131
0,1,1,0,0,7,0,1,24,24,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4954963193397221,1,0,0.5833333333333334
1,1,1,0,0,8,1,1,25,25,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5283997898933452,1,1,0.6
1,1,0,1,0,12,0,1,26,26,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5128865688257126,1,0,0.5769230769230769
0,0,0,1,0,9,0,1,27,27,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4684709789112174,1,0,0.5555555555555556
1,0,1,0,1,22,1,1,28,28,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5253608960521361,0,0,0.5357142857142857
1,1,0,0,1,20,0,1,29,29,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5058399191106845,1,0,0.5172413793103449
0,1,0,1,0,11,0,1,30,30,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46953370336753864,0,1,0.5333333333333333
1,1,0,1,1,28,0,1,31,31,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5028168312516271,0,1,0.5483870967741935
0,1,0,0,1,19,0,1,32,32,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4690029952257251,0,1,0.5625
1,0,1,1,1,30,1,2,1,33,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5330106284065985,1,1,0.5757575757575758
0,0,1,0,0,5,0,2,2,34,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4977095358376002,0,1,0.5882352941176471
1,1,0,1,1,28,0,2,3,35,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5027560956246213,0,1,0.6
1,1,1,0,1,24,1,2,4,36,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5309813762085297,1,1,0.6111111111111112
0,1,1,0,0,7,0,2,5,37,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4966970952730644,1,0,0.5945945945945946
0,1,0,1,0,11,0,2,6,38,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46437870822224847,0,1,0.6052631578947368
1,1,0,0,1,20,0,2,7,39,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5027010760287475,1,0,0.5897435897435898
0,1,1,1,0,15,0,2,8,40,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4952449918934526,1,0,0.575
0,1,0,1,1,27,0,2,9,41,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4687464807700199,0,1,0.5853658536585366
0,1,0,0,0,3,0,2,10,42,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4624613752869135,0,1,0.5952380952380952
1,0,0,0,0,2,0,2,11,43,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4990938943681142,1,0,0.5813953488372093
1,0,0,0,1,18,0,2,12,44,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5040564948660482,0,1,0.5909090909090909
1,1,1,1,0,16,1,2,13,45,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5287877031424992,1,1,0.6
1,0,1,0,0,6,1,2,14,46,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5289718308743576,0,0,0.5869565217391305
0,0,1,0,1,21,0,2,15,47,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5015713805697116,1,0,0.574468085106383
1,0,1,0,1,22,1,2,16,48,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5326361695752121,0,0,0.5625
1,1,0,1,0,12,0,2,17,49,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49611059673496466,0,1,0.5714285714285714
1,0,0,1,0,10,0,2,18,50,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49904879880852865,0,1,0.58
0,1,0,0,1,19,0,2,19,51,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46799126513369116,0,1,0.5882352941176471
0,0,0,1,1,25,0,2,20,52,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4705737731898782,1,0,0.5769230769230769
0,0,0,0,1,17,0,2,21,53,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4703743767567766,0,1,0.5849056603773585
1,1,0,0,0,4,0,2,22,54,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49587831447820263,0,1,0.5925925925925926
0,1,1,1,1,31,0,2,23,55,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5004143232478789,0,1,0.6
1,0,1,1,0,14,1,2,24,56,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5338090382796493,1,1,0.6071428571428571
0,0,1,1,0,13,0,2,25,57,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5041144943917908,0,1,0.6140350877192983
1,1,1,0,0,8,1,2,26,58,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5295001395435663,0,0,0.603448275862069
0,0,0,1,0,9,0,2,27,59,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46850090875279526,1,0,0.5932203389830508
1,1,1,1,1,32,1,2,28,60,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.530644522642756,1,1,0.6
1,0,0,1,1,26,0,2,29,61,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4998385974840014,1,0,0.5901639344262295
0,0,0,0,0,1,0,2,30,62,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4668074992606123,1,0,0.5806451612903226
0,1,1,0,1,23,0,2,31,63,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5009061272371583,0,1,0.5873015873015873
0,0,1,1,1,29,0,2,32,64,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5006342501126078,1,0,0.578125
1,1,0,1,0,12,0,3,1,65,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4991673608793959,1,0,0.5692307692307692
0,1,1,0,0,7,0,3,2,66,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4994505847270091,0,1,0.5757575757575758
1,0,1,0,0,6,1,3,3,67,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5327102889881699,1,1,0.582089552238806
0,0,1,1,0,13,0,3,4,68,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49992066984654626,0,1,0.5882352941176471
1,0,1,1,0,14,1,3,5,69,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5324575381080925,0,0,0.5797101449275363
1,1,1,0,0,8,1,3,6,70,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5316961689137372,1,1,0.5857142857142857
0,0,0,1,1,25,0,3,7,71,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4656909918696909,1,0,0.5774647887323944
0,0,1,1,1,29,0,3,8,72,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4967078172864956,0,1,0.5833333333333334
0,1,0,1,1,27,0,3,9,73,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4633050181876545,1,0,0.5753424657534246
1,0,1,1,1,30,1,3,10,74,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5301415820663528,1,1,0.581081081081081
0,1,0,1,0,11,0,3,11,75,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4654485758016295,0,1,0.5866666666666667
0,1,0,0,0,3,0,3,12,76,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4669234283225138,1,0,0.5789473684210527
1,0,0,0,0,2,0,3,13,77,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5035571021195768,0,1,0.5844155844155844
1,1,1,0,1,24,1,3,14,78,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5321233418813376,1,1,0.5897435897435898
1,0,1,0,1,22,1,3,15,79,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5353921444149777,1,1,0.5949367088607594
1,0,0,0,1,18,0,3,16,80,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5033996936853721,0,1,0.6
1,0,0,1,0,10,0,3,17,81,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49848855316946655,1,0,0.5925925925925926
0,0,0,0,0,1,0,3,18,82,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4684016868331911,1,0,0.5853658536585366
1,1,1,1,1,32,1,3,19,83,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5319728133937396,1,1,0.5903614457831325
0,1,1,0,1,23,0,3,20,84,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5018679802556876,1,0,0.5833333333333334
0,1,1,1,0,15,0,3,21,85,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4968696502565709,1,0,0.5764705882352941
1,1,0,0,1,20,0,3,22,86,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5014425608486776,1,0,0.5697674418604651
0,1,1,1,1,31,0,3,23,87,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4988080869938803,0,1,0.5747126436781609
0,0,0,0,1,17,0,3,24,88,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4692973627817551,1,0,0.5681818181818182
0,0,0,1,0,9,0,3,25,89,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46562498558876886,0,1,0.5730337078651685
0,1,0,0,1,19,0,3,26,90,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4673894679884204,1,0,0.5666666666666667
1,0,0,1,1,26,0,3,27,91,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5003791843719645,0,1,0.5714285714285714
1,1,0,1,1,28,0,3,28,92,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49845665993137206,0,1,0.5760869565217391
0,0,1,0,0,5,0,3,29,93,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5010910858677403,1,0,0.5698924731182796
1,1,1,1,0,16,1,3,30,94,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5311834683004978,1,1,0.574468085106383
0,0,1,0,1,21,0,3,31,95,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4996306622150289,1,0,0.5684210526315789
1,1,0,0,0,4,0,3,32,96,1,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5001374366023841,1,0,0.5625
1,1,0,1,0,12,0,1,1,1,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,0,1,1
1,1,1,0,0,8,1,1,2,2,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5,1,1,1
0,1,0,1,0,11,0,1,3,3,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.45016600268752205,0,1,1
0,0,1,1,0,13,0,1,4,4,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.48719043370245985,1,0,0.75
0,1,0,0,1,19,0,1,5,5,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49916736087939584,0,1,0.8
0,1,0,1,1,27,0,1,6,6,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4431498907880898,0,1,0.8333333333333334
0,1,1,1,1,31,0,1,7,7,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.47452216866710567,0,1,0.8571428571428571
1,0,0,1,0,10,0,1,8,8,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49013923868239584,1,0,0.75
1,0,0,0,1,18,0,1,9,9,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026982656067251,1,0,0.6666666666666666
1,0,0,0,0,2,0,1,10,10,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5166489122586592,1,0,0.6
0,0,0,0,1,17,0,1,11,11,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46004727600504386,1,0,0.5454545454545454
1,0,1,1,0,14,1,1,12,12,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5180505971078626,0,0,0.5
0,0,0,1,1,25,0,1,13,13,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4509066876710856,0,1,0.5384615384615384
1,1,1,1,1,32,1,1,14,14,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.519562546998462,1,1,0.5714285714285714
0,0,1,0,1,21,0,1,15,15,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49160554619690033,0,1,0.6
1,1,0,0,0,4,0,1,16,16,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5079384466446761,0,1,0.625
0,0,0,0,0,1,0,1,17,17,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46260894227074423,0,1,0.6470588235294118
0,1,1,0,0,7,0,1,18,18,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5098783363968112,0,1,0.6666666666666666
0,1,0,0,0,3,0,1,19,19,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46859569600804846,0,1,0.6842105263157895
1,1,0,1,1,28,0,1,20,20,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5056279058104852,0,1,0.7
1,0,1,0,0,6,1,1,21,21,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5300017567897278,0,0,0.6666666666666666
1,0,1,0,1,22,1,1,22,22,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5287304541647995,1,1,0.6818181818181818
0,0,0,1,0,9,0,1,23,23,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46793319547409296,1,0,0.6521739130434783
1,0,1,1,1,30,1,1,24,24,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.534629709627843,0,0,0.625
0,0,1,0,0,5,0,1,25,25,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5051040109100047,1,0,0.6
1,1,1,1,0,16,1,1,26,26,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5300571721635923,0,0,0.5769230769230769
1,1,1,0,1,24,1,1,27,27,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.531667066476102,0,0,0.5555555555555556
0,1,1,0,1,23,0,1,28,28,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5026276300403488,1,0,0.5357142857142857
0,1,1,1,0,15,0,1,29,29,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.49951881233046336,0,1,0.5517241379310345
1,0,0,1,1,26,0,1,30,30,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.503522624406506,0,1,0.5666666666666667
0,0,1,1,1,29,0,1,31,31,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5006444927599123,0,1,0.5806451612903226
1,1,0,0,1,20,0,1,32,32,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5021741372394589,0,1,0.59375
0,1,0,1,1,27,0,2,1,33,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.46643643198353063,1,0,0.5757575757575758
0,0,1,0,0,5,0,2,2,34,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5006252369296589,1,0,0.5588235294117647
1,0,0,0,1,18,0,2,3,35,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5002365769164108,0,1,0.5714285714285714
1,1,0,0,1,20,0,2,4,36,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4986851374741319,1,0,0.5555555555555556
0,0,1,1,0,13,0,2,5,37,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5016249139518912,0,1,0.5675675675675675
1,0,0,1,0,10,0,2,6,38,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.4998469967837411,0,1,0.5789473684210527
1,0,1,0,0,6,1,2,7,39,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5311884346486336,1,1,0.5897435897435898
1,1,1,0,1,24,1,2,8,40,2,0.2,0.2,0.2,0.2,0.2,0.5,-0.6931471805599453,0.5,0.5315120105347321,1,1,0.6
